Ano,Trimestre,Cidade,Tipo de Imóvel,Material Utilizado,Quantidade (m³),Valor Material (R$),Área Construída (m²)
2019,Q4,Cidade A,Residencial,Fio Algodão,26,6708,57
2019,Q4,Cidade A,Residencial,Cimento,29,15225,168
2019,Q4,Cidade A,Residencial,Tecido,47,29281,107
2019,Q4,Cidade A,Residencial,Papel,30,9930,90
2019,Q4,Cidade A,Residencial,Poliéster,82,62894,53
2019,Q4,Cidade A,Residencial,Couro,23,13754,58
2019,Q4,Cidade A,Residencial,Areia,96,19104,199
2019,Q4,Cidade A,Comercial,Barra Metal,13,1898,157
2019,Q4,Cidade A,Comercial,Madeira,25,23075,77
2019,Q4,Cidade A,Comercial,Pedra Britada,62,33480,120
2019,Q4,Cidade A,Comercial,Fio Algodão,64,38144,126
2019,Q4,Cidade A,Comercial,Cimento,78,40716,89
2019,Q4,Cidade A,Comercial,Tecido,86,20898,184
2019,Q4,Cidade A,Comercial,Papel,39,7215,114
2019,Q4,Cidade A,Comercial,Poliéster,85,58310,165
2019,Q4,Cidade A,Comercial,Couro,62,29326,85
2019,Q4,Cidade A,Comercial,Areia,84,71484,135
2019,Q4,Cidade A,Industrial,Barra Metal,89,45924,169
2019,Q4,Cidade A,Industrial,Madeira,69,6900,65
2019,Q4,Cidade A,Industrial,Pedra Britada,32,20512,195
2019,Q4,Cidade A,Industrial,Fio Algodão,33,6699,104
2019,Q4,Cidade A,Industrial,Cimento,52,48984,96
2019,Q4,Cidade A,Industrial,Tecido,40,29760,175
2019,Q4,Cidade A,Industrial,Papel,77,26257,75
2019,Q4,Cidade A,Industrial,Poliéster,24,17904,165
2019,Q4,Cidade A,Industrial,Couro,37,3996,95
2019,Q4,Cidade A,Industrial,Areia,45,28125,170
2019,Q4,Cidade B,Residencial,Barra Metal,18,6876,162
2019,Q4,Cidade B,Residencial,Madeira,47,34028,86
2019,Q4,Cidade B,Residencial,Pedra Britada,94,19928,107
2019,Q4,Cidade B,Residencial,Fio Algodão,12,4908,112
2019,Q4,Cidade B,Residencial,Cimento,68,44404,194
2019,Q4,Cidade B,Residencial,Tecido,72,11880,127
2019,Q4,Cidade B,Residencial,Papel,12,2112,86
2019,Q4,Cidade B,Residencial,Poliéster,74,58312,157
2019,Q4,Cidade B,Residencial,Couro,13,3822,82
2019,Q4,Cidade B,Residencial,Areia,51,26877,161
2019,Q4,Cidade B,Comercial,Barra Metal,86,78432,105
2019,Q4,Cidade B,Comercial,Madeira,89,78142,185
2019,Q4,Cidade B,Comercial,Pedra Britada,37,26899,99
2019,Q4,Cidade B,Comercial,Fio Algodão,19,10830,153
2019,Q4,Cidade B,Comercial,Cimento,65,31005,93
2019,Q4,Cidade B,Comercial,Tecido,79,60672,109
2019,Q4,Cidade B,Comercial,Papel,74,33892,187
2019,Q4,Cidade B,Comercial,Poliéster,89,33464,51
2019,Q4,Cidade B,Comercial,Couro,92,45632,85
2019,Q4,Cidade B,Comercial,Areia,61,53192,82
2019,Q4,Cidade B,Industrial,Barra Metal,90,18360,101
2019,Q4,Cidade B,Industrial,Madeira,43,38829,74
2019,Q4,Cidade B,Industrial,Pedra Britada,67,42411,143
2019,Q4,Cidade B,Industrial,Fio Algodão,58,49474,124
2019,Q4,Cidade B,Industrial,Cimento,53,5671,146
2019,Q4,Cidade B,Industrial,Tecido,48,40224,193
2019,Q4,Cidade B,Industrial,Papel,41,18901,68
2019,Q4,Cidade B,Industrial,Poliéster,46,38870,64
2019,Q4,Cidade B,Industrial,Couro,26,14950,128
2019,Q4,Cidade B,Industrial,Areia,48,5952,148
2019,Q4,Cidade C,Residencial,Barra Metal,91,82628,126
2019,Q4,Cidade C,Residencial,Madeira,45,17145,136
2019,Q4,Cidade C,Residencial,Pedra Britada,24,18336,60
2019,Q4,Cidade C,Residencial,Fio Algodão,21,8127,172
2019,Q4,Cidade C,Residencial,Cimento,89,76896,189
2019,Q4,Cidade C,Residencial,Tecido,76,68628,149
2019,Q4,Cidade C,Residencial,Papel,29,15312,108
2019,Q4,Cidade C,Residencial,Poliéster,45,16920,154
2019,Q4,Cidade C,Residencial,Couro,15,14655,103
2019,Q4,Cidade C,Residencial,Areia,24,6288,167
2019,Q4,Cidade C,Comercial,Barra Metal,60,55440,160
2019,Q4,Cidade C,Comercial,Madeira,41,17507,156
2019,Q4,Cidade C,Comercial,Pedra Britada,41,29397,180
2019,Q4,Cidade C,Comercial,Fio Algodão,20,4540,177
2019,Q4,Cidade C,Comercial,Cimento,31,6200,115
2019,Q4,Cidade C,Comercial,Tecido,72,44136,76
2019,Q4,Cidade C,Comercial,Papel,46,8418,176
2019,Q4,Cidade C,Comercial,Poliéster,68,15368,169
2019,Q4,Cidade C,Comercial,Couro,99,89298,81
2019,Q4,Cidade C,Comercial,Areia,32,21536,190
2019,Q4,Cidade C,Industrial,Barra Metal,59,56876,100
2019,Q4,Cidade C,Industrial,Madeira,100,91300,55
2019,Q4,Cidade C,Industrial,Pedra Britada,29,3567,130
2019,Q4,Cidade C,Industrial,Fio Algodão,95,53390,96
2019,Q4,Cidade C,Industrial,Cimento,95,57570,87
2019,Q4,Cidade C,Industrial,Tecido,84,70728,121
2019,Q4,Cidade C,Industrial,Papel,85,9520,129
2019,Q4,Cidade C,Industrial,Poliéster,60,13320,94
2019,Q4,Cidade C,Industrial,Couro,60,40380,138
2019,Q4,Cidade C,Industrial,Areia,19,4731,101
2019,Q4,Cidade D,Residencial,Barra Metal,75,39600,179
2019,Q4,Cidade D,Residencial,Madeira,24,8976,116
2019,Q4,Cidade D,Residencial,Pedra Britada,23,21919,79
2019,Q4,Cidade D,Residencial,Fio Algodão,65,23465,191
2019,Q4,Cidade D,Residencial,Cimento,70,10150,65
2019,Q4,Cidade D,Residencial,Tecido,96,90528,90
2019,Q4,Cidade D,Residencial,Papel,33,23793,115
2019,Q4,Cidade D,Residencial,Poliéster,27,7641,145
2019,Q4,Cidade D,Residencial,Couro,48,42816,71
2019,Q4,Cidade D,Residencial,Areia,26,11986,143
2019,Q4,Cidade D,Comercial,Barra Metal,83,28054,169
2019,Q4,Cidade D,Comercial,Madeira,99,62469,188
2019,Q4,Cidade D,Comercial,Pedra Britada,90,23220,64
2019,Q4,Cidade D,Comercial,Fio Algodão,48,47712,154
2019,Q4,Cidade D,Comercial,Cimento,56,50512,58
2019,Q4,Cidade D,Comercial,Tecido,84,65184,126
2019,Q4,Cidade D,Comercial,Papel,25,10925,183
2019,Q4,Cidade D,Comercial,Poliéster,43,16254,106
2019,Q4,Cidade D,Comercial,Couro,37,14726,90
2019,Q4,Cidade D,Comercial,Areia,76,19988,189
2019,Q4,Cidade D,Industrial,Barra Metal,14,1596,122
2019,Q4,Cidade D,Industrial,Madeira,58,46690,166
2019,Q4,Cidade D,Industrial,Pedra Britada,85,11475,147
2019,Q4,Cidade D,Industrial,Fio Algodão,25,8625,91
2019,Q4,Cidade D,Industrial,Cimento,34,9724,192
2019,Q4,Cidade D,Industrial,Tecido,86,15996,135
2019,Q4,Cidade D,Industrial,Papel,64,49344,137
2019,Q4,Cidade D,Industrial,Poliéster,76,38456,62
2019,Q4,Cidade D,Industrial,Couro,45,41355,130
2019,Q4,Cidade D,Industrial,Areia,38,9234,54
2019,Q4,Cidade E,Residencial,Barra Metal,78,57096,151
2019,Q4,Cidade E,Residencial,Madeira,41,16482,90
2019,Q4,Cidade E,Residencial,Pedra Britada,57,19380,82
2019,Q4,Cidade E,Residencial,Fio Algodão,29,13717,109
2019,Q4,Cidade E,Residencial,Cimento,52,49764,174
2019,Q4,Cidade E,Residencial,Tecido,92,14260,65
2019,Q4,Cidade E,Residencial,Papel,86,17458,82
2019,Q4,Cidade E,Residencial,Poliéster,90,42570,172
2019,Q4,Cidade E,Residencial,Couro,97,75078,119
2019,Q4,Cidade E,Residencial,Areia,58,9802,118
2019,Q4,Cidade E,Comercial,Barra Metal,34,21862,159
2019,Q4,Cidade E,Comercial,Madeira,47,32712,62
2019,Q4,Cidade E,Comercial,Pedra Britada,46,23230,187
2019,Q4,Cidade E,Comercial,Fio Algodão,61,47214,163
2019,Q4,Cidade E,Comercial,Cimento,83,20169,62
2019,Q4,Cidade E,Comercial,Tecido,29,24041,200
2019,Q4,Cidade E,Comercial,Papel,49,14700,67
2019,Q4,Cidade E,Comercial,Poliéster,25,3050,105
2019,Q4,Cidade E,Comercial,Couro,13,4251,132
2019,Q4,Cidade E,Comercial,Areia,47,11421,197
2019,Q4,Cidade E,Industrial,Barra Metal,58,43906,115
2019,Q4,Cidade E,Industrial,Madeira,77,49203,107
2019,Q4,Cidade E,Industrial,Pedra Britada,46,41170,159
2019,Q4,Cidade E,Industrial,Fio Algodão,95,9595,124
2019,Q4,Cidade E,Industrial,Cimento,47,19975,60
2019,Q4,Cidade E,Industrial,Tecido,64,62592,119
2019,Q4,Cidade E,Industrial,Papel,59,31270,173
2019,Q4,Cidade E,Industrial,Poliéster,63,47817,79
2019,Q4,Cidade E,Industrial,Couro,85,25160,53
2019,Q4,Cidade E,Industrial,Areia,22,16192,193
2020,Q1,Cidade A,Residencial,Barra Metal,37,26973,54
2020,Q1,Cidade A,Residencial,Madeira,91,9828,188
2020,Q1,Cidade A,Residencial,Pedra Britada,32,4160,153
2020,Q1,Cidade A,Residencial,Fio Algodão,52,12688,180
2020,Q1,Cidade A,Residencial,Cimento,50,29400,128
2020,Q1,Cidade A,Residencial,Tecido,79,17301,142
2020,Q1,Cidade A,Residencial,Papel,80,52480,91
2020,Q1,Cidade A,Residencial,Poliéster,41,38171,95
2020,Q1,Cidade A,Residencial,Couro,79,53246,116
2020,Q1,Cidade A,Residencial,Areia,41,27675,179
2020,Q1,Cidade A,Comercial,Barra Metal,64,12160,81
2020,Q1,Cidade A,Comercial,Madeira,19,5206,140
2020,Q1,Cidade A,Comercial,Pedra Britada,54,52218,150
2020,Q1,Cidade A,Comercial,Fio Algodão,75,52050,184
2020,Q1,Cidade A,Comercial,Cimento,32,22656,181
2020,Q1,Cidade A,Comercial,Tecido,53,26235,160
2020,Q1,Cidade A,Comercial,Papel,76,12084,140
2020,Q1,Cidade A,Comercial,Poliéster,32,7008,56
2020,Q1,Cidade A,Comercial,Couro,46,13478,78
2020,Q1,Cidade A,Comercial,Areia,15,14640,173
2020,Q1,Cidade A,Industrial,Barra Metal,30,4170,159
2020,Q1,Cidade A,Industrial,Madeira,30,11520,164
2020,Q1,Cidade A,Industrial,Pedra Britada,18,15012,198
2020,Q1,Cidade A,Industrial,Fio Algodão,32,12896,144
2020,Q1,Cidade A,Industrial,Cimento,52,45708,192
2020,Q1,Cidade A,Industrial,Tecido,81,71442,113
2020,Q1,Cidade A,Industrial,Papel,37,22200,167
2020,Q1,Cidade A,Industrial,Poliéster,88,23496,192
2020,Q1,Cidade A,Industrial,Couro,25,15700,73
2020,Q1,Cidade A,Industrial,Areia,10,7580,141
2020,Q1,Cidade B,Residencial,Barra Metal,14,5670,76
2020,Q1,Cidade B,Residencial,Madeira,69,36915,95
2020,Q1,Cidade B,Residencial,Pedra Britada,42,28434,133
2020,Q1,Cidade B,Residencial,Fio Algodão,15,2400,130
2020,Q1,Cidade B,Residencial,Cimento,75,13200,63
2020,Q1,Cidade B,Residencial,Tecido,84,45360,82
2020,Q1,Cidade B,Residencial,Papel,72,52488,71
2020,Q1,Cidade B,Residencial,Poliéster,50,11550,194
2020,Q1,Cidade B,Residencial,Couro,94,37882,105
2020,Q1,Cidade B,Residencial,Areia,44,11968,136
2020,Q1,Cidade B,Comercial,Barra Metal,59,25960,198
2020,Q1,Cidade B,Comercial,Madeira,31,29853,72
2020,Q1,Cidade B,Comercial,Pedra Britada,76,71440,180
2020,Q1,Cidade B,Comercial,Fio Algodão,74,48396,60
2020,Q1,Cidade B,Comercial,Cimento,13,7423,124
2020,Q1,Cidade B,Comercial,Tecido,74,64898,105
2020,Q1,Cidade B,Comercial,Papel,36,33804,74
2020,Q1,Cidade B,Comercial,Poliéster,45,21960,124
2020,Q1,Cidade B,Comercial,Couro,85,60775,137
2020,Q1,Cidade B,Comercial,Areia,39,19422,194
2020,Q1,Cidade B,Industrial,Barra Metal,83,54946,171
2020,Q1,Cidade B,Industrial,Madeira,47,27119,90
2020,Q1,Cidade B,Industrial,Pedra Britada,42,5376,77
2020,Q1,Cidade B,Industrial,Fio Algodão,30,11100,55
2020,Q1,Cidade B,Industrial,Cimento,33,32604,74
2020,Q1,Cidade B,Industrial,Tecido,18,2916,108
2020,Q1,Cidade B,Industrial,Papel,68,48824,82
2020,Q1,Cidade B,Industrial,Poliéster,41,11685,138
2020,Q1,Cidade B,Industrial,Couro,53,14999,142
2020,Q1,Cidade B,Industrial,Areia,12,2856,161
2020,Q1,Cidade C,Residencial,Barra Metal,29,15515,114
2020,Q1,Cidade C,Residencial,Madeira,25,11875,114
2020,Q1,Cidade C,Residencial,Pedra Britada,50,12100,109
2020,Q1,Cidade C,Residencial,Fio Algodão,29,14442,198
2020,Q1,Cidade C,Residencial,Cimento,31,30411,102
2020,Q1,Cidade C,Residencial,Tecido,94,23594,88
2020,Q1,Cidade C,Residencial,Papel,66,60258,159
2020,Q1,Cidade C,Residencial,Poliéster,30,5460,66
2020,Q1,Cidade C,Residencial,Couro,38,9272,183
2020,Q1,Cidade C,Residencial,Areia,54,15282,86
2020,Q1,Cidade C,Comercial,Barra Metal,95,34295,84
2020,Q1,Cidade C,Comercial,Madeira,43,42183,87
2020,Q1,Cidade C,Comercial,Pedra Britada,83,61088,157
2020,Q1,Cidade C,Comercial,Fio Algodão,29,14210,145
2020,Q1,Cidade C,Comercial,Cimento,32,27936,98
2020,Q1,Cidade C,Comercial,Tecido,44,17072,146
2020,Q1,Cidade C,Comercial,Papel,91,34853,178
2020,Q1,Cidade C,Comercial,Poliéster,47,12643,138
2020,Q1,Cidade C,Comercial,Couro,83,78684,160
2020,Q1,Cidade C,Comercial,Areia,69,15801,196
2020,Q1,Cidade C,Industrial,Barra Metal,52,28496,176
2020,Q1,Cidade C,Industrial,Madeira,14,8400,101
2020,Q1,Cidade C,Industrial,Pedra Britada,37,27972,188
2020,Q1,Cidade C,Industrial,Fio Algodão,50,22650,118
2020,Q1,Cidade C,Industrial,Cimento,68,13940,95
2020,Q1,Cidade C,Industrial,Tecido,29,16124,148
2020,Q1,Cidade C,Industrial,Papel,44,29612,187
2020,Q1,Cidade C,Industrial,Poliéster,14,8050,165
2020,Q1,Cidade C,Industrial,Couro,42,24780,69
2020,Q1,Cidade C,Industrial,Areia,95,72105,53
2020,Q1,Cidade D,Residencial,Barra Metal,20,9940,131
2020,Q1,Cidade D,Residencial,Madeira,52,41860,178
2020,Q1,Cidade D,Residencial,Pedra Britada,12,7584,143
2020,Q1,Cidade D,Residencial,Fio Algodão,74,8362,68
2020,Q1,Cidade D,Residencial,Cimento,71,17111,138
2020,Q1,Cidade D,Residencial,Tecido,20,19820,52
2020,Q1,Cidade D,Residencial,Papel,75,38250,88
2020,Q1,Cidade D,Residencial,Poliéster,44,20900,139
2020,Q1,Cidade D,Residencial,Couro,42,30198,128
2020,Q1,Cidade D,Residencial,Areia,66,63360,158
2020,Q1,Cidade D,Comercial,Barra Metal,43,12599,146
2020,Q1,Cidade D,Comercial,Madeira,44,19404,183
2020,Q1,Cidade D,Comercial,Pedra Britada,55,46365,67
2020,Q1,Cidade D,Comercial,Fio Algodão,54,42606,152
2020,Q1,Cidade D,Comercial,Cimento,26,20020,79
2020,Q1,Cidade D,Comercial,Tecido,72,61344,60
2020,Q1,Cidade D,Comercial,Papel,58,25114,86
2020,Q1,Cidade D,Comercial,Poliéster,74,38702,170
2020,Q1,Cidade D,Comercial,Couro,48,38448,167
2020,Q1,Cidade D,Comercial,Areia,48,17616,120
2020,Q1,Cidade D,Industrial,Barra Metal,39,36855,175
2020,Q1,Cidade D,Industrial,Madeira,29,5104,182
2020,Q1,Cidade D,Industrial,Pedra Britada,82,54038,115
2020,Q1,Cidade D,Industrial,Fio Algodão,32,9088,94
2020,Q1,Cidade D,Industrial,Cimento,30,4830,58
2020,Q1,Cidade D,Industrial,Tecido,43,15523,57
2020,Q1,Cidade D,Industrial,Papel,88,52360,140
2020,Q1,Cidade D,Industrial,Poliéster,30,14340,91
2020,Q1,Cidade D,Industrial,Couro,49,36407,180
2020,Q1,Cidade D,Industrial,Areia,52,47216,121
2020,Q1,Cidade E,Residencial,Barra Metal,80,36800,165
2020,Q1,Cidade E,Residencial,Madeira,69,53613,106
2020,Q1,Cidade E,Residencial,Pedra Britada,80,22400,129
2020,Q1,Cidade E,Residencial,Fio Algodão,94,87044,196
2020,Q1,Cidade E,Residencial,Cimento,49,10192,174
2020,Q1,Cidade E,Residencial,Tecido,52,32708,158
2020,Q1,Cidade E,Residencial,Papel,14,2604,94
2020,Q1,Cidade E,Residencial,Poliéster,88,10912,166
2020,Q1,Cidade E,Residencial,Couro,39,19149,116
2020,Q1,Cidade E,Residencial,Areia,88,39424,55
2020,Q1,Cidade E,Comercial,Barra Metal,55,15950,81
2020,Q1,Cidade E,Comercial,Madeira,31,19964,113
2020,Q1,Cidade E,Comercial,Pedra Britada,92,42964,142
2020,Q1,Cidade E,Comercial,Fio Algodão,88,75504,108
2020,Q1,Cidade E,Comercial,Cimento,100,58900,112
2020,Q1,Cidade E,Comercial,Tecido,80,46320,65
2020,Q1,Cidade E,Comercial,Papel,80,26400,194
2020,Q1,Cidade E,Comercial,Poliéster,51,8976,184
2020,Q1,Cidade E,Comercial,Couro,13,10647,109
2020,Q1,Cidade E,Comercial,Areia,69,42090,90
2020,Q1,Cidade E,Industrial,Barra Metal,90,72270,170
2020,Q1,Cidade E,Industrial,Madeira,27,21006,85
2020,Q1,Cidade E,Industrial,Pedra Britada,73,72416,162
2020,Q1,Cidade E,Industrial,Fio Algodão,63,20790,116
2020,Q1,Cidade E,Industrial,Cimento,88,31504,126
2020,Q1,Cidade E,Industrial,Tecido,51,25245,187
2020,Q1,Cidade E,Industrial,Papel,34,4284,137
2020,Q1,Cidade E,Industrial,Poliéster,72,52632,81
2020,Q1,Cidade E,Industrial,Couro,11,1309,83
2020,Q1,Cidade E,Industrial,Areia,64,9344,92
2020,Q2,Cidade A,Residencial,Barra Metal,64,53760,96
2020,Q2,Cidade A,Residencial,Madeira,66,19140,52
2020,Q2,Cidade A,Residencial,Pedra Britada,54,21546,122
2020,Q2,Cidade A,Residencial,Fio Algodão,83,74783,170
2020,Q2,Cidade A,Residencial,Cimento,35,31045,57
2020,Q2,Cidade A,Residencial,Tecido,14,1834,197
2020,Q2,Cidade A,Residencial,Papel,76,39064,174
2020,Q2,Cidade A,Residencial,Poliéster,82,19024,152
2020,Q2,Cidade A,Residencial,Couro,29,19662,139
2020,Q2,Cidade A,Residencial,Areia,98,57722,151
2020,Q2,Cidade A,Comercial,Barra Metal,66,15312,172
2020,Q2,Cidade A,Comercial,Madeira,13,2639,181
2020,Q2,Cidade A,Comercial,Pedra Britada,47,8178,96
2020,Q2,Cidade A,Comercial,Fio Algodão,71,67521,61
2020,Q2,Cidade A,Comercial,Cimento,39,12753,99
2020,Q2,Cidade A,Comercial,Tecido,55,26015,171
2020,Q2,Cidade A,Comercial,Papel,44,4752,128
2020,Q2,Cidade A,Comercial,Poliéster,30,16410,119
2020,Q2,Cidade A,Comercial,Couro,77,58751,116
2020,Q2,Cidade A,Comercial,Areia,25,20125,119
2020,Q2,Cidade A,Industrial,Barra Metal,93,11439,61
2020,Q2,Cidade A,Industrial,Madeira,79,25122,110
2020,Q2,Cidade A,Industrial,Pedra Britada,88,65384,192
2020,Q2,Cidade A,Industrial,Fio Algodão,90,47880,171
2020,Q2,Cidade A,Industrial,Cimento,95,45600,81
2020,Q2,Cidade A,Industrial,Tecido,42,20370,73
2020,Q2,Cidade A,Industrial,Papel,55,26895,63
2020,Q2,Cidade A,Industrial,Poliéster,91,17017,138
2020,Q2,Cidade A,Industrial,Couro,15,1860,73
2020,Q2,Cidade A,Industrial,Areia,59,22361,66
2020,Q2,Cidade B,Residencial,Barra Metal,31,28768,106
2020,Q2,Cidade B,Residencial,Madeira,61,32330,154
2020,Q2,Cidade B,Residencial,Pedra Britada,48,35376,98
2020,Q2,Cidade B,Residencial,Fio Algodão,94,70688,193
2020,Q2,Cidade B,Residencial,Cimento,24,4296,188
2020,Q2,Cidade B,Residencial,Tecido,23,21873,145
2020,Q2,Cidade B,Residencial,Papel,63,61614,126
2020,Q2,Cidade B,Residencial,Poliéster,15,12870,96
2020,Q2,Cidade B,Residencial,Couro,29,12064,54
2020,Q2,Cidade B,Residencial,Areia,83,39342,74
2020,Q2,Cidade B,Comercial,Barra Metal,81,52488,169
2020,Q2,Cidade B,Comercial,Madeira,48,18384,52
2020,Q2,Cidade B,Comercial,Pedra Britada,61,16348,181
2020,Q2,Cidade B,Comercial,Fio Algodão,80,36880,169
2020,Q2,Cidade B,Comercial,Cimento,64,33920,81
2020,Q2,Cidade B,Comercial,Tecido,98,95354,81
2020,Q2,Cidade B,Comercial,Papel,80,30160,123
2020,Q2,Cidade B,Comercial,Poliéster,12,5112,108
2020,Q2,Cidade B,Comercial,Couro,66,40194,186
2020,Q2,Cidade B,Comercial,Areia,94,29516,110
2020,Q2,Cidade B,Industrial,Barra Metal,77,20097,160
2020,Q2,Cidade B,Industrial,Madeira,50,15250,198
2020,Q2,Cidade B,Industrial,Pedra Britada,25,3275,69
2020,Q2,Cidade B,Industrial,Fio Algodão,68,40256,158
2020,Q2,Cidade B,Industrial,Cimento,24,22296,189
2020,Q2,Cidade B,Industrial,Tecido,92,72404,197
2020,Q2,Cidade B,Industrial,Papel,61,35441,168
2020,Q2,Cidade B,Industrial,Poliéster,69,41952,115
2020,Q2,Cidade B,Industrial,Couro,37,20535,128
2020,Q2,Cidade B,Industrial,Areia,89,12816,68
2020,Q2,Cidade C,Residencial,Barra Metal,57,54720,149
2020,Q2,Cidade C,Residencial,Madeira,96,20448,67
2020,Q2,Cidade C,Residencial,Pedra Britada,11,9977,52
2020,Q2,Cidade C,Residencial,Fio Algodão,18,17334,65
2020,Q2,Cidade C,Residencial,Cimento,58,51272,128
2020,Q2,Cidade C,Residencial,Tecido,45,14760,100
2020,Q2,Cidade C,Residencial,Papel,21,7497,61
2020,Q2,Cidade C,Residencial,Poliéster,22,9438,105
2020,Q2,Cidade C,Residencial,Couro,56,52248,120
2020,Q2,Cidade C,Residencial,Areia,99,72567,127
2020,Q2,Cidade C,Comercial,Barra Metal,27,25893,104
2020,Q2,Cidade C,Comercial,Madeira,74,11248,126
2020,Q2,Cidade C,Comercial,Pedra Britada,40,15360,109
2020,Q2,Cidade C,Comercial,Fio Algodão,77,65681,73
2020,Q2,Cidade C,Comercial,Cimento,44,29172,79
2020,Q2,Cidade C,Comercial,Tecido,70,7000,141
2020,Q2,Cidade C,Comercial,Papel,27,4779,62
2020,Q2,Cidade C,Comercial,Poliéster,33,22605,172
2020,Q2,Cidade C,Comercial,Couro,84,82320,169
2020,Q2,Cidade C,Comercial,Areia,55,14685,86
2020,Q2,Cidade C,Industrial,Barra Metal,75,68325,140
2020,Q2,Cidade C,Industrial,Madeira,13,6487,91
2020,Q2,Cidade C,Industrial,Pedra Britada,30,22110,179
2020,Q2,Cidade C,Industrial,Fio Algodão,98,57918,72
2020,Q2,Cidade C,Industrial,Cimento,59,11800,161
2020,Q2,Cidade C,Industrial,Tecido,64,29312,104
2020,Q2,Cidade C,Industrial,Papel,36,24696,162
2020,Q2,Cidade C,Industrial,Poliéster,81,46494,54
2020,Q2,Cidade C,Industrial,Couro,10,9190,190
2020,Q2,Cidade C,Industrial,Areia,90,57960,122
2020,Q2,Cidade D,Residencial,Barra Metal,33,25146,56
2020,Q2,Cidade D,Residencial,Madeira,74,32560,144
2020,Q2,Cidade D,Residencial,Pedra Britada,59,26668,137
2020,Q2,Cidade D,Residencial,Fio Algodão,22,12056,179
2020,Q2,Cidade D,Residencial,Cimento,74,10952,115
2020,Q2,Cidade D,Residencial,Tecido,21,14343,188
2020,Q2,Cidade D,Residencial,Papel,68,23596,184
2020,Q2,Cidade D,Residencial,Poliéster,52,49556,181
2020,Q2,Cidade D,Residencial,Couro,30,22170,183
2020,Q2,Cidade D,Residencial,Areia,12,10740,57
2020,Q2,Cidade D,Comercial,Barra Metal,17,10013,139
2020,Q2,Cidade D,Comercial,Madeira,83,80178,83
2020,Q2,Cidade D,Comercial,Pedra Britada,93,73191,193
2020,Q2,Cidade D,Comercial,Fio Algodão,56,23128,84
2020,Q2,Cidade D,Comercial,Cimento,96,44736,184
2020,Q2,Cidade D,Comercial,Tecido,62,47988,51
2020,Q2,Cidade D,Comercial,Papel,31,4681,148
2020,Q2,Cidade D,Comercial,Poliéster,74,30118,136
2020,Q2,Cidade D,Comercial,Couro,28,22876,99
2020,Q2,Cidade D,Comercial,Areia,65,22945,115
2020,Q2,Cidade D,Industrial,Barra Metal,40,5800,131
2020,Q2,Cidade D,Industrial,Madeira,27,6399,106
2020,Q2,Cidade D,Industrial,Pedra Britada,46,6532,66
2020,Q2,Cidade D,Industrial,Fio Algodão,62,29574,75
2020,Q2,Cidade D,Industrial,Cimento,97,16199,112
2020,Q2,Cidade D,Industrial,Tecido,99,85140,161
2020,Q2,Cidade D,Industrial,Papel,87,71949,196
2020,Q2,Cidade D,Industrial,Poliéster,13,2158,116
2020,Q2,Cidade D,Industrial,Couro,23,17411,187
2020,Q2,Cidade D,Industrial,Areia,12,2184,94
2020,Q2,Cidade E,Residencial,Barra Metal,48,35184,191
2020,Q2,Cidade E,Residencial,Madeira,82,15826,193
2020,Q2,Cidade E,Residencial,Pedra Britada,91,82537,188
2020,Q2,Cidade E,Residencial,Fio Algodão,13,10686,78
2020,Q2,Cidade E,Residencial,Cimento,43,9503,75
2020,Q2,Cidade E,Residencial,Tecido,11,9537,175
2020,Q2,Cidade E,Residencial,Papel,74,49358,68
2020,Q2,Cidade E,Residencial,Poliéster,78,68016,153
2020,Q2,Cidade E,Residencial,Couro,89,10858,74
2020,Q2,Cidade E,Residencial,Areia,64,18496,188
2020,Q2,Cidade E,Comercial,Barra Metal,87,38106,170
2020,Q2,Cidade E,Comercial,Madeira,32,14272,52
2020,Q2,Cidade E,Comercial,Pedra Britada,56,52808,147
2020,Q2,Cidade E,Comercial,Fio Algodão,86,43688,65
2020,Q2,Cidade E,Comercial,Cimento,89,32752,109
2020,Q2,Cidade E,Comercial,Tecido,84,14028,86
2020,Q2,Cidade E,Comercial,Papel,33,18480,150
2020,Q2,Cidade E,Comercial,Poliéster,77,26642,159
2020,Q2,Cidade E,Comercial,Couro,54,24246,107
2020,Q2,Cidade E,Comercial,Areia,73,41026,168
2020,Q2,Cidade E,Industrial,Barra Metal,11,3520,165
2020,Q2,Cidade E,Industrial,Madeira,99,98505,161
2020,Q2,Cidade E,Industrial,Pedra Britada,24,7992,165
2020,Q2,Cidade E,Industrial,Fio Algodão,29,5858,199
2020,Q2,Cidade E,Industrial,Cimento,39,5109,126
2020,Q2,Cidade E,Industrial,Tecido,22,13772,193
2020,Q2,Cidade E,Industrial,Papel,31,29977,68
2020,Q2,Cidade E,Industrial,Poliéster,53,25758,168
2020,Q2,Cidade E,Industrial,Couro,98,21952,86
2020,Q2,Cidade E,Industrial,Areia,82,37146,133
2020,Q3,Cidade A,Residencial,Barra Metal,44,4840,143
2020,Q3,Cidade A,Residencial,Madeira,49,28910,73
2020,Q3,Cidade A,Residencial,Pedra Britada,24,10344,85
2020,Q3,Cidade A,Residencial,Fio Algodão,23,13984,111
2020,Q3,Cidade A,Residencial,Cimento,49,31850,93
2020,Q3,Cidade A,Residencial,Tecido,75,54975,81
2020,Q3,Cidade A,Residencial,Papel,75,37725,173
2020,Q3,Cidade A,Residencial,Poliéster,57,32262,54
